customer_id,customer_type,country,segment,signup_date
C0096,Individual,Germany,Standard,2025-05-04
C0097,Individual,United Kingdom,SME,2025-04-26
C0098,Individual,Germany,Standard,2025-03-11
C0099,Individual,Ireland,SME,2025-04-05
C0100,Business,Ireland,Premium,2025-01-10
C0101,Business,United Kingdom,Standard,2025-08-10
C0102,Individual,United Kingdom,Standard,2025-12-05
C0103,Individual,United Kingdom,SME,2025-09-10
C0104,Business,United Kingdom,Standard,2025-06-13
C0105,Business,France,Standard,2025-06-03
C0106,Individual,Germany,Premium,2025-04-23
C0107,Individual,United Kingdom,Premium,2025-02-21
C0108,Individual,Germany,SME,2025-08-07
C0109,Individual,Germany,Standard,2025-07-26
C0110,Business,United Kingdom,Standard,2025-01-03
C0111,Individual,Ireland,Standard,2025-06-01
C0112,Individual,United Kingdom,Standard,2025-04-12
C0113,Individual,Spain,Standard,2025-03-04
C0114,Individual,United Kingdom,Standard,2025-09-14
C0115,Individual,Ireland,Standard,2025-07-11
C0116,Business,Spain,Standard,2025-08-20
C0117,Business,Spain,Standard,2025-09-18
C0118,Individual,Ireland,Premium,2025-12-25
C0119,Individual,Ireland,Premium,2025-10-21
C0120,Individual,France,Standard,2025-08-15
C0121,Individual,Ireland,Standard,2025-11-17
C0122,Individual,United Kingdom,Standard,2025-06-24
C0123,Individual,France,Premium,2025-12-26
C0124,Individual,Germany,Standard,2025-10-05
C0125,Individual,Ireland,Standard,2025-08-26
C0126,Individual,Germany,Standard,2025-11-26
C0127,Individual,Germany,Standard,2025-07-08
C0128,Individual,France,Standard,2025-09-21
C0129,Individual,United Kingdom,Standard,2025-04-14
C0130,Individual,United Kingdom,Standard,2025-12-18
C0131,Individual,Germany,Premium,2025-08-16
C0132,Business,Germany,Premium,2025-10-13
C0133,Individual,United Kingdom,Premium,2025-06-18
C0134,Individual,Germany,Standard,2025-11-13
C0135,Individual,Germany,SME,2025-01-28
C0136,Individual,United Kingdom,Standard,2025-02-11
C0137,Business,Germany,Standard,2025-07-05
C0138,Individual,Netherlands,Premium,2025-09-25
C0139,Business,United Kingdom,Standard,2025-10-23
C0140,Individual,Spain,Standard,2025-06-10
C0141,Individual,Spain,Premium,2025-08-26
C0142,Individual,Germany,SME,2025-07-21
C0143,Business,United Kingdom,SME,2025-12-17
C0144,Individual,France,Standard,2025-08-27
C0145,Individual,Ireland,Standard,2025-06-02
C0146,Individual,France,SME,2025-12-20
C0147,Individual,Ireland,Standard,2025-02-09
C0148,Individual,France,SME,2025-12-26
C0149,Individual,France,Standard,2025-02-26
C0150,Individual,United Kingdom,Standard,2025-04-16
C0151,Business,Netherlands,Standard,2025-10-27
C0152,Business,United Kingdom,SME,2025-09-25
C0153,Individual,Netherlands,Standard,2025-12-21
C0154,Individual,Ireland,Standard,2025-10-01
C0155,Individual,United Kingdom,Standard,2025-08-21
C0156,Individual,France,Standard,2025-05-07
C0157,Individual,United Kingdom,Standard,2025-01-02
C0158,Individual,Netherlands,Premium,2025-02-15
C0159,Business,United Kingdom,Standard,2025-04-19
C0160,Business,Spain,SME,2025-01-15
C0161,Individual,United Kingdom,SME,2025-07-05
C0162,Business,Spain,Standard,2025-10-11
C0163,Individual,Ireland,Standard,2025-12-18
C0164,Individual,France,Premium,2025-06-28
C0165,Individual,Ireland,Standard,2025-11-16
C0166,Individual,Ireland,Standard,2025-12-26
C0167,Business,Spain,SME,2025-11-10
C0168,Business,United Kingdom,SME,2025-06-19
C0169,Individual,France,SME,2025-04-29
C0170,Business,United Kingdom,Standard,2025-12-23
C0171,Individual,France,Premium,2025-03-30
C0172,Individual,United Kingdom,Premium,2025-05-31
C0173,Individual,France,Standard,2025-01-28
C0174,Business,France,Premium,2025-10-17
C0175,Individual,Germany,Standard,2025-08-26
C0176,Individual,Germany,Standard,2025-01-31
C0177,Individual,Netherlands,Standard,2025-03-23
C0178,Business,Ireland,Standard,2025-07-22
C0179,Business,Germany,Standard,2025-07-17
C0180,Business,France,SME,2025-10-20
