transaction_id,expected_amount,settled_amount,settlement_status,settlement_date
TX00255,1975.98,1975.98,Matched,2026-03-26
TX00257,598.86,598.86,Matched,2026-06-18
TX00258,321.7,321.7,Matched,2026-02-10
TX00259,531.87,531.87,Matched,2026-03-17
TX00260,418.11,418.11,Matched,2026-03-19
TX00261,265.58,265.58,Matched,2026-04-16
TX00263,613.16,613.16,Matched,2026-01-24
TX00264,269.85,0.0,Unsettled,2026-05-21
TX00265,261.04,261.04,Matched,2026-02-12
TX00267,722.07,722.07,Matched,2026-06-03
TX00268,823.47,823.47,Matched,2026-05-08
TX00269,630.75,630.75,Matched,2026-03-16
TX00271,558.18,490.78,Mismatch,2026-03-17
TX00272,722.86,722.86,Matched,2026-04-16
TX00273,670.66,670.66,Matched,2026-02-15
TX00274,479.23,479.23,Matched,2026-02-06
TX00277,352.78,352.78,Matched,2026-05-30
TX00278,294.12,294.12,Matched,2026-03-13
TX00279,749.13,749.13,Matched,2026-06-14
TX00280,641.67,641.67,Matched,2026-04-24
TX00281,156.95,156.95,Matched,2026-01-15
TX00284,201.48,201.48,Matched,2026-03-16
TX00285,1422.92,1422.92,Matched,2026-03-29
TX00287,176.82,176.82,Matched,2026-04-25
TX00288,2346.32,2346.32,Matched,2026-04-16
TX00289,906.85,906.85,Matched,2026-03-25
TX00290,513.54,513.54,Matched,2026-02-25
TX00291,2001.57,2001.57,Matched,2026-03-18
TX00292,593.12,593.12,Matched,2026-04-03
TX00293,505.79,505.79,Matched,2026-03-31
TX00294,295.52,295.52,Matched,2026-02-28
TX00295,849.44,849.44,Matched,2026-04-19
TX00296,776.75,776.75,Matched,2026-02-13
TX00297,524.52,524.52,Matched,2026-04-03
TX00298,264.68,264.68,Matched,2026-01-26
TX00299,578.5,578.5,Matched,2026-03-29
TX00300,488.17,488.17,Matched,2026-05-24
TX00301,166.76,166.76,Matched,2026-06-02
TX00302,148.26,148.26,Matched,2026-05-08
TX00303,837.47,837.47,Matched,2026-05-18
TX00304,56.74,56.74,Matched,2026-01-13
TX00305,616.83,616.83,Matched,2026-03-04
TX00306,345.03,345.03,Matched,2026-05-03
TX00308,340.55,340.55,Matched,2026-04-17
TX00310,369.67,369.67,Matched,2026-02-23
TX00311,570.6,570.6,Matched,2026-02-01
TX00312,969.05,969.05,Matched,2026-01-18
TX00313,349.61,349.61,Matched,2026-04-20
TX00314,1208.42,1208.42,Matched,2026-05-03
TX00315,222.6,222.6,Matched,2026-02-25
TX00316,665.41,665.41,Matched,2026-05-23
TX00317,1134.84,1134.84,Matched,2026-05-16
TX00318,907.81,907.81,Matched,2026-03-09
TX00320,270.72,270.72,Matched,2026-05-19
TX00321,160.41,160.41,Matched,2026-05-03
TX00322,222.48,222.48,Matched,2026-02-04
TX00324,790.95,790.95,Matched,2026-03-30
TX00327,994.1,994.1,Matched,2026-06-23
TX00329,1387.29,1387.29,Matched,2026-03-14
TX00331,707.32,707.32,Matched,2026-06-09
TX00332,850.34,850.34,Matched,2026-02-14
TX00333,340.72,340.72,Matched,2026-07-02
TX00334,111.2,111.2,Matched,2026-04-04
TX00336,204.6,204.6,Matched,2026-02-03
TX00338,2239.5,2239.5,Matched,2026-05-29
TX00339,653.23,653.23,Matched,2026-06-01
TX00340,715.32,715.32,Matched,2026-04-10
TX00341,398.35,398.35,Matched,2026-01-09
TX00342,447.22,447.22,Matched,2026-06-23
TX00343,1175.99,1175.99,Matched,2026-03-16
TX00346,438.52,438.52,Matched,2026-06-06
TX00347,387.29,387.29,Matched,2026-05-07
TX00348,156.67,156.67,Matched,2026-05-05
TX00349,96.44,96.44,Matched,2026-04-10
TX00350,414.75,414.75,Matched,2026-01-06
TX00351,543.5,543.5,Matched,2026-03-13
TX00352,173.61,173.61,Matched,2026-05-16
TX00353,503.05,503.05,Matched,2026-06-01
TX00354,542.23,542.23,Matched,2026-04-13
TX00355,82.88,82.88,Matched,2026-05-10
TX00357,732.29,732.29,Matched,2026-03-30
TX00358,719.82,719.82,Matched,2026-04-05
TX00359,194.29,194.29,Matched,2026-06-15
TX00360,592.7,592.7,Matched,2026-03-02
TX00361,1235.27,1235.27,Matched,2026-02-15
TX00362,1002.76,1002.76,Matched,2026-03-06
TX00363,477.71,477.71,Matched,2026-02-02
TX00366,770.97,770.97,Matched,2026-05-27
TX00367,611.45,611.45,Matched,2026-06-26
TX00368,884.47,884.47,Matched,2026-01-18
TX00369,579.46,579.46,Matched,2026-02-17
TX00370,1038.93,1038.93,Matched,2026-02-25
TX00372,1009.27,1009.27,Matched,2026-05-31
TX00373,1085.94,1085.94,Matched,2026-01-27
TX00374,261.43,261.43,Matched,2026-01-08
TX00375,111.39,111.39,Matched,2026-06-07
TX00376,1923.63,1923.63,Matched,2026-06-26
TX00378,120.63,120.63,Matched,2026-03-06
TX00379,282.38,282.38,Matched,2026-04-03
TX00380,998.34,998.34,Matched,2026-04-09
TX00381,408.41,408.41,Matched,2026-07-01
TX00382,335.21,335.21,Matched,2026-03-17
TX00383,1704.03,1704.03,Matched,2026-01-07
TX00385,262.85,262.85,Matched,2026-04-15
TX00386,619.97,619.97,Matched,2026-04-05
TX00387,721.9,721.9,Matched,2026-04-05
TX00388,789.89,789.89,Matched,2026-06-17
TX00389,1123.89,1123.89,Matched,2026-05-29
TX00390,613.26,613.26,Matched,2026-02-18
TX00392,415.58,415.58,Matched,2026-05-03
TX00393,546.37,546.37,Matched,2026-03-18
TX00394,567.59,567.59,Matched,2026-03-21
TX00395,621.93,621.93,Matched,2026-02-02
TX00396,998.9,998.9,Matched,2026-02-18
TX00398,537.85,537.85,Matched,2026-06-04
TX00399,260.41,260.41,Matched,2026-05-26
TX00400,548.68,548.68,Matched,2026-02-26
TX00401,505.82,505.82,Matched,2026-01-26
TX00402,610.45,610.45,Matched,2026-02-01
TX00403,3379.71,3379.71,Matched,2026-03-16
TX00405,741.7,741.7,Matched,2026-06-13
TX00406,1284.59,1284.59,Matched,2026-06-13
TX00407,563.01,563.01,Matched,2026-01-04
TX00408,3778.82,3778.82,Matched,2026-05-11
TX00409,375.65,0.0,Unsettled,2026-02-27
TX00410,682.3,682.3,Matched,2026-02-06
TX00411,262.7,262.7,Matched,2026-04-12
TX00412,384.22,384.22,Matched,2026-01-10
TX00413,640.08,640.08,Matched,2026-03-04
TX00414,1063.54,1019.28,Mismatch,2026-04-13
TX00415,679.41,679.41,Matched,2026-02-22
TX00416,1510.58,1510.58,Matched,2026-04-20
TX00417,477.84,477.84,Matched,2026-03-26
TX00418,390.59,390.59,Matched,2026-05-26
TX00421,281.02,281.02,Matched,2026-04-10
TX00423,232.46,232.46,Matched,2026-05-09
TX00424,1148.35,1148.35,Matched,2026-01-20
TX00426,577.24,577.24,Matched,2026-07-03
TX00428,964.65,0.0,Unsettled,2026-02-28
TX00429,252.21,252.21,Matched,2026-06-04
TX00430,207.63,207.63,Matched,2026-04-08
TX00432,863.35,863.35,Matched,2026-02-12
TX00433,687.22,687.22,Matched,2026-05-22
TX00434,260.33,260.33,Matched,2026-06-07
TX00435,921.37,921.37,Matched,2026-03-10
TX00436,275.26,275.26,Matched,2026-03-28
TX00437,332.52,332.52,Matched,2026-05-25
TX00438,232.21,232.21,Matched,2026-02-05
TX00439,1565.54,1561.05,Mismatch,2026-02-09
TX00440,887.5,887.5,Matched,2026-05-23
TX00442,1495.37,1495.37,Matched,2026-05-22
TX00443,5657.58,5657.58,Matched,2026-04-01
TX00445,276.55,276.55,Matched,2026-01-07
TX00446,306.82,306.82,Matched,2026-06-25
TX00447,251.34,251.34,Matched,2026-02-12
TX00448,207.28,207.28,Matched,2026-01-08
TX00449,401.54,401.54,Matched,2026-05-13
TX00450,184.18,184.18,Matched,2026-04-09
TX00454,797.57,797.57,Matched,2026-04-17
TX00455,864.85,831.07,Mismatch,2026-06-11
TX00456,377.13,377.13,Matched,2026-03-19
TX00457,3143.12,3143.12,Matched,2026-05-27
TX00458,632.24,632.24,Matched,2026-06-18
TX00459,106.37,106.37,Matched,2026-06-11
TX00460,220.96,220.96,Matched,2026-04-04
TX00461,117.99,117.99,Matched,2026-05-08
TX00462,525.7,525.7,Matched,2026-04-10
TX00463,467.06,467.06,Matched,2026-05-07
TX00464,347.87,0.0,Unsettled,2026-04-14
TX00465,2862.03,0.0,Unsettled,2026-04-09
TX00466,826.03,826.03,Matched,2026-03-25
TX00467,960.24,960.24,Matched,2026-05-03
TX00468,234.77,234.77,Matched,2026-05-18
TX00470,534.47,534.47,Matched,2026-04-25
TX00471,600.08,531.71,Mismatch,2026-01-22
TX00472,106.93,106.93,Matched,2026-04-21
TX00473,444.41,0.0,Unsettled,2026-02-28
TX00474,524.25,490.66,Mismatch,2026-01-08
TX00476,259.46,259.46,Matched,2026-04-19
TX00477,327.47,327.47,Matched,2026-06-23
TX00478,445.71,445.71,Matched,2026-04-03
TX00479,559.58,559.58,Matched,2026-03-24
TX00480,866.16,866.16,Matched,2026-01-21
TX00481,1298.19,1298.19,Matched,2026-05-06
TX00482,403.35,403.35,Matched,2026-01-13
TX00483,351.52,351.52,Matched,2026-06-04
TX00485,870.63,0.0,Unsettled,2026-07-01
TX00486,358.14,358.14,Matched,2026-02-24
TX00487,1014.18,945.45,Mismatch,2026-02-01
TX00488,1191.12,1191.12,Matched,2026-02-25
TX00491,248.03,248.03,Matched,2026-06-13
TX00492,524.17,524.17,Matched,2026-02-01
TX00493,523.0,523.0,Matched,2026-01-11
TX00494,476.58,476.58,Matched,2026-02-10
TX00495,298.31,298.31,Matched,2026-05-18
TX00496,146.54,0.0,Unsettled,2026-04-24
TX00497,560.47,560.47,Matched,2026-03-10
TX00498,269.59,269.59,Matched,2026-04-30
TX00499,557.29,513.78,Mismatch,2026-04-29
TX00500,263.77,263.77,Matched,2026-04-12
TX00501,203.42,203.42,Matched,2026-04-06
TX00502,632.17,632.17,Matched,2026-01-23
TX00503,588.92,588.92,Matched,2026-02-18
TX00504,847.58,847.58,Matched,2026-04-10
TX00505,3320.88,3275.63,Mismatch,2026-01-26
TX00506,655.7,655.7,Matched,2026-03-31
TX00507,782.36,782.36,Matched,2026-01-24
TX00508,207.28,207.28,Matched,2026-05-27
TX00509,173.49,173.49,Matched,2026-01-21
TX00510,1989.04,1989.04,Matched,2026-01-19
TX00511,236.29,236.29,Matched,2026-04-27
TX00512,213.29,213.29,Matched,2026-02-13
TX00513,501.08,501.08,Matched,2026-03-07
TX00514,479.78,479.78,Matched,2026-02-28
TX00515,240.54,240.54,Matched,2026-02-12
TX00516,399.72,399.72,Matched,2026-05-21
TX00517,1472.87,1472.87,Matched,2026-05-09
TX00518,261.1,261.1,Matched,2026-02-15
TX00519,158.44,158.44,Matched,2026-05-06
TX00521,787.18,787.18,Matched,2026-04-09
TX00523,134.98,134.98,Matched,2026-06-20
TX00524,275.08,275.08,Matched,2026-03-27
TX00525,494.48,494.48,Matched,2026-03-14
TX00526,1395.24,1395.24,Matched,2026-04-11
TX00527,214.63,214.63,Matched,2026-06-05
TX00528,482.1,482.1,Matched,2026-05-10
TX00529,919.54,919.54,Matched,2026-01-18
TX00530,68.44,68.44,Matched,2026-03-29
TX00531,1247.28,1247.28,Matched,2026-05-17
TX00533,686.91,686.91,Matched,2026-07-01
TX00534,638.86,638.86,Matched,2026-05-28
TX00535,1302.31,1302.31,Matched,2026-06-04
TX00537,68.67,68.67,Matched,2026-04-16
TX00538,265.85,265.85,Matched,2026-04-09
TX00539,582.58,582.58,Matched,2026-04-26
TX00540,438.9,438.9,Matched,2026-06-04
TX00541,777.41,777.41,Matched,2026-03-06
TX00542,1013.29,1013.29,Matched,2026-04-08
TX00543,868.86,868.86,Matched,2026-05-06
TX00545,107.84,107.84,Matched,2026-05-23
TX00546,351.72,351.72,Matched,2026-03-05
TX00547,737.98,737.98,Matched,2026-07-01
TX00548,205.02,205.02,Matched,2026-01-03
TX00549,885.88,885.88,Matched,2026-04-01
TX00550,1121.18,1121.18,Matched,2026-04-25
TX00551,577.0,577.0,Matched,2026-01-15
TX00552,38.31,38.31,Matched,2026-03-25
TX00553,174.8,174.8,Matched,2026-04-19
TX00554,2574.11,2574.11,Matched,2026-04-22
TX00555,325.53,0.0,Unsettled,2026-01-26
TX00556,95.92,95.92,Matched,2026-02-21
TX00557,1480.24,1480.24,Matched,2026-02-18
TX00558,523.93,523.93,Matched,2026-04-28
TX00559,1325.04,1283.48,Mismatch,2026-03-02
TX00560,655.51,655.51,Matched,2026-04-18
TX00561,764.92,764.92,Matched,2026-05-16
TX00562,705.25,705.25,Matched,2026-05-28
TX00564,3589.67,3589.67,Matched,2026-06-14
TX00566,135.19,135.19,Matched,2026-01-06
TX00567,757.23,757.23,Matched,2026-01-12
TX00568,1366.84,1321.03,Mismatch,2026-02-09
TX00569,1439.85,1439.85,Matched,2026-06-09
TX00570,360.46,360.46,Matched,2026-02-10
TX00571,1394.38,1394.38,Matched,2026-05-10
TX00572,1139.77,1139.77,Matched,2026-03-21
TX00573,4613.03,4613.03,Matched,2026-01-09
TX00574,273.83,273.83,Matched,2026-03-26
TX00575,336.54,336.54,Matched,2026-01-09
TX00576,399.33,399.33,Matched,2026-03-29
TX00577,341.49,341.49,Matched,2026-04-13
TX00578,243.1,243.1,Matched,2026-04-09
TX00579,49.49,49.49,Matched,2026-02-22
TX00580,357.99,357.99,Matched,2026-05-20
TX00581,709.07,0.0,Unsettled,2026-04-21
TX00582,340.62,340.62,Matched,2026-02-19
TX00583,2684.03,2684.03,Matched,2026-03-23
TX00584,523.94,523.94,Matched,2026-01-23
TX00585,1552.12,1552.12,Matched,2026-06-21
TX00587,1045.7,1045.7,Matched,2026-02-26
TX00588,656.78,656.78,Matched,2026-05-04
TX00589,1658.17,1658.17,Matched,2026-05-04
TX00590,543.24,543.24,Matched,2026-04-22
TX00591,789.74,789.74,Matched,2026-01-12
TX00592,707.25,707.25,Matched,2026-06-11
TX00594,730.87,730.87,Matched,2026-06-30
TX00595,3460.71,3460.71,Matched,2026-06-29
TX00597,739.92,739.92,Matched,2026-05-15
TX00598,1508.86,1508.86,Matched,2026-01-15
TX00600,523.2,523.2,Matched,2026-02-16
TX00601,68.31,68.31,Matched,2026-02-13
TX00602,803.68,803.68,Matched,2026-06-04
TX00603,78.53,78.53,Matched,2026-06-01
TX00604,1807.04,1807.04,Matched,2026-04-09
TX00605,598.28,598.28,Matched,2026-05-15
TX00606,1211.63,1211.63,Matched,2026-01-27
TX00607,240.62,240.62,Matched,2026-02-12
TX00608,138.43,138.43,Matched,2026-06-08
TX00609,646.54,646.54,Matched,2026-03-26
TX00610,503.43,503.43,Matched,2026-04-12
TX00612,556.66,556.66,Matched,2026-02-08
TX00613,5444.28,5444.28,Matched,2026-06-03
TX00614,1052.95,1052.95,Matched,2026-05-21
TX00615,1264.05,1264.05,Matched,2026-05-08
TX00616,1061.4,1061.4,Matched,2026-03-06
TX00617,1821.73,1821.73,Matched,2026-05-01
TX00618,440.73,440.73,Matched,2026-06-24
TX00621,1032.74,1032.74,Matched,2026-02-20
TX00622,227.16,227.16,Matched,2026-04-09
TX00623,445.9,445.9,Matched,2026-03-11
TX00624,287.72,287.72,Matched,2026-04-23
TX00625,1857.01,1857.01,Matched,2026-01-13
TX00626,979.5,979.5,Matched,2026-02-08
TX00627,901.27,901.27,Matched,2026-05-25
TX00628,878.63,878.63,Matched,2026-03-12
TX00629,501.87,501.87,Matched,2026-03-21
TX00630,612.73,612.73,Matched,2026-04-10
TX00631,189.16,135.55,Mismatch,2026-03-24
TX00632,80.76,80.76,Matched,2026-05-20
TX00633,588.5,588.5,Matched,2026-02-18
TX00635,1447.91,1447.91,Matched,2026-02-08
TX00636,1969.7,1969.7,Matched,2026-03-12
TX00637,1967.46,1924.29,Mismatch,2026-04-20
TX00638,221.78,221.78,Matched,2026-06-13
TX00639,383.97,383.97,Matched,2026-02-13
TX00640,779.21,779.21,Matched,2026-04-19
TX00641,4456.5,4456.5,Matched,2026-01-15
TX00642,1822.72,1822.72,Matched,2026-01-16
TX00643,1341.42,1341.42,Matched,2026-05-23
TX00644,372.55,372.55,Matched,2026-05-14
TX00645,244.52,244.52,Matched,2026-03-12
TX00646,1012.9,1012.9,Matched,2026-04-24
TX00647,203.25,203.25,Matched,2026-03-11
TX00648,422.98,422.98,Matched,2026-02-22
TX00650,2006.16,2006.16,Matched,2026-02-28
TX00651,383.18,383.18,Matched,2026-06-01
TX00653,795.35,771.28,Mismatch,2026-03-04
TX00654,285.95,285.95,Matched,2026-04-09
TX00657,410.49,0.0,Unsettled,2026-06-23
TX00658,1014.13,1014.13,Matched,2026-03-27
TX00659,140.76,140.76,Matched,2026-05-01
TX00660,333.8,333.8,Matched,2026-06-26
TX00661,926.52,926.52,Matched,2026-03-23
TX00662,307.36,307.36,Matched,2026-02-07
TX00663,131.96,131.96,Matched,2026-05-18
TX00664,914.4,914.4,Matched,2026-01-05
TX00665,1345.65,1345.65,Matched,2026-03-26
TX00666,498.58,498.58,Matched,2026-06-29
TX00667,97.83,97.83,Matched,2026-03-18
TX00668,943.95,943.95,Matched,2026-05-05
TX00669,126.35,126.35,Matched,2026-04-10
TX00670,673.49,673.49,Matched,2026-02-11
TX00671,243.63,243.63,Matched,2026-02-28
TX00672,193.28,193.28,Matched,2026-04-07
TX00673,355.8,355.8,Matched,2026-01-20
