transaction_id,customer_id,transaction_date,amount,currency,payment_method,status,country,failure_reason
TX00037,C0157,2026-03-09,190.61,EUR,Digital Wallet,Successful,United Kingdom,
TX00038,C0103,2026-01-09,267.48,USD,Debit Card,Pending,Spain,
TX00039,C0128,2026-06-25,303.21,USD,Credit Card,Successful,United Kingdom,
TX00040,C0072,2026-03-22,210.91,EUR,Credit Card,Successful,Ireland,
TX00041,C0143,2026-02-01,211.85,EUR,Bank Transfer,Successful,United Kingdom,
TX00042,C0081,2026-04-22,458.22,GBP,Digital Wallet,Successful,United Kingdom,
TX00043,C0179,2026-02-27,184.16,USD,Bank Transfer,Pending,Germany,
TX00044,C0012,2026-06-19,1059.77,GBP,Credit Card,Successful,United Kingdom,
TX00045,C0031,2026-02-23,237.44,EUR,Bank Transfer,Successful,Ireland,
TX00046,C0175,2026-04-10,5642.79,EUR,Bank Transfer,Successful,Spain,
TX00047,C0052,2026-04-09,352.95,GBP,Debit Card,Failed,Ireland,Card Declined
TX00048,C0056,2026-02-13,550.71,GBP,Debit Card,Successful,United Kingdom,
TX00049,C0143,2026-04-01,172.25,GBP,Digital Wallet,Successful,Ireland,
TX00050,C0035,2026-01-20,2208.74,EUR,Digital Wallet,Successful,United Kingdom,
TX00051,C0093,2026-04-27,1341.54,GBP,Bank Transfer,Successful,Spain,
TX00052,C0052,2026-05-18,666.73,GBP,Bank Transfer,Successful,Germany,
TX00053,C0036,2026-06-21,164.88,EUR,Debit Card,Successful,United Kingdom,
TX00054,C0174,2026-02-28,619.6,GBP,Debit Card,Successful,United Kingdom,
TX00055,C0036,2026-02-21,199.69,EUR,Debit Card,Successful,United Kingdom,
TX00056,C0017,2026-04-10,1795.43,GBP,Digital Wallet,Successful,United Kingdom,
TX00057,C0122,2026-05-06,1030.52,GBP,Credit Card,Successful,Spain,
TX00058,C0157,2026-06-29,561.79,GBP,Bank Transfer,Failed,Ireland,Limit Exceeded
TX00059,C0023,2026-01-05,65.31,GBP,Debit Card,Successful,Spain,
TX00060,C0128,2026-02-13,224.55,GBP,Credit Card,Successful,United Kingdom,
TX00061,C0098,2026-02-17,929.45,EUR,Debit Card,Successful,France,
TX00062,C0150,2026-02-16,1452.37,GBP,Bank Transfer,Failed,United Kingdom,Insufficient Funds
TX00063,C0023,2026-03-25,1329.81,GBP,Debit Card,Successful,France,
TX00064,C0176,2026-06-07,133.86,GBP,Debit Card,Successful,United Kingdom,
TX00065,C0112,2026-01-06,669.36,GBP,Bank Transfer,Failed,United Kingdom,Bank Timeout
TX00066,C0152,2026-05-28,1228.06,USD,Credit Card,Successful,France,
TX00067,C0066,2026-04-22,126.52,GBP,Debit Card,Successful,United Kingdom,
TX00068,C0170,2026-04-22,514.54,USD,Credit Card,Successful,Germany,
TX00069,C0113,2026-05-03,653.78,GBP,Debit Card,Successful,France,
TX00070,C0023,2026-01-21,401.16,GBP,Digital Wallet,Successful,United Kingdom,
TX00071,C0167,2026-05-16,107.3,GBP,Bank Transfer,Successful,Spain,
TX00072,C0144,2026-02-14,392.74,GBP,Bank Transfer,Successful,Germany,
TX00073,C0055,2026-04-04,392.21,EUR,Debit Card,Successful,Ireland,
TX00074,C0099,2026-05-03,456.75,GBP,Debit Card,Failed,France,Insufficient Funds
TX00075,C0070,2026-04-20,320.87,GBP,Bank Transfer,Successful,Netherlands,
TX00076,C0098,2026-02-28,355.47,EUR,Credit Card,Successful,Netherlands,
TX00077,C0174,2026-03-13,500.82,EUR,Bank Transfer,Successful,Ireland,
TX00078,C0162,2026-03-28,754.52,USD,Bank Transfer,Successful,France,
TX00079,C0039,2026-01-08,399.91,USD,Debit Card,Successful,United Kingdom,
TX00080,C0175,2026-05-12,365.69,EUR,Credit Card,Successful,United Kingdom,
TX00081,C0079,2026-01-19,560.32,EUR,Digital Wallet,Pending,France,
TX00082,C0127,2026-03-25,101.21,EUR,Credit Card,Successful,United Kingdom,
TX00083,C0138,2026-04-29,777.03,GBP,Debit Card,Successful,United Kingdom,
TX00084,C0087,2026-01-15,517.76,EUR,Credit Card,Failed,United Kingdom,Limit Exceeded
TX00085,C0083,2026-06-30,535.79,GBP,Credit Card,Failed,France,Card Declined
TX00086,C0083,2026-03-10,1172.18,EUR,Bank Transfer,Successful,United Kingdom,
TX00087,C0156,2026-01-03,98.5,USD,Debit Card,Successful,France,
TX00088,C0070,2026-04-30,96.76,GBP,Credit Card,Failed,Ireland,Limit Exceeded
TX00089,C0051,2026-04-11,653.76,EUR,Debit Card,Successful,Ireland,
TX00090,C0066,2026-04-26,514.89,USD,Credit Card,Failed,United Kingdom,Authentication Failed
TX00091,C0036,2026-05-16,598.63,GBP,Debit Card,Successful,France,
TX00092,C0071,2026-03-28,349.74,GBP,Debit Card,Successful,France,
TX00093,C0021,2026-05-30,911.14,USD,Bank Transfer,Successful,Germany,
TX00094,C0017,2026-03-08,1144.52,USD,Credit Card,Failed,France,Invalid Account Details
TX00095,C0131,2026-04-09,781.63,GBP,Digital Wallet,Successful,United Kingdom,
TX00096,UNKNOWN_10,2026-01-29,415.01,GBP,Bank Transfer,Successful,Spain,
TX00097,C0103,2026-04-23,86.35,EUR,Debit Card,Successful,United Kingdom,
TX00098,C0141,2026-02-17,996.1,GBP,Bank Transfer,Successful,Ireland,
TX00099,C0131,2026-05-07,1463.33,GBP,Bank Transfer,Successful,France,
TX00100,C0081,2026-05-25,895.94,GBP,Digital Wallet,Successful,United Kingdom,
TX00101,C0035,2026-06-05,245.26,GBP,Debit Card,Successful,Netherlands,
TX00102,C0168,2026-06-18,918.48,EUR,Debit Card,Successful,United Kingdom,
TX00103,C0151,2026-01-23,1076.48,EUR,Bank Transfer,Successful,Ireland,
TX00104,C0111,2026-01-25,1948.85,EUR,Digital Wallet,Successful,France,
TX00105,UNKNOWN_01,2026-06-17,245.99,EUR,Bank Transfer,Successful,United Kingdom,
TX00106,C0007,2026-03-10,427.31,GBP,Credit Card,Successful,United Kingdom,
TX00107,C0057,2026-01-05,977.68,GBP,Bank Transfer,Successful,Netherlands,
TX00108,C0029,2026-02-21,543.92,GBP,Bank Transfer,Successful,United Kingdom,
TX00109,C0155,2026-06-01,200.39,GBP,Credit Card,Successful,Spain,
TX00110,C0038,2026-03-06,736.88,GBP,Bank Transfer,Successful,Ireland,
TX00111,C0051,2026-01-14,847.14,GBP,Credit Card,Successful,Netherlands,
TX00112,C0176,2026-05-11,558.23,GBP,Bank Transfer,Successful,United Kingdom,
TX00113,C0148,2026-02-05,624.31,GBP,Credit Card,Failed,Netherlands,Limit Exceeded
TX00114,C0040,2026-03-05,415.76,EUR,Credit Card,Failed,Spain,Insufficient Funds
TX00115,C0070,2026-01-01,1819.9,EUR,Credit Card,Successful,United Kingdom,
TX00116,C0093,2026-04-19,240.91,USD,Bank Transfer,Successful,United Kingdom,
TX00117,C0120,2026-03-22,314.43,EUR,Credit Card,Successful,United Kingdom,
TX00118,C0169,2026-06-06,522.87,EUR,Digital Wallet,Successful,Germany,
TX00119,C0157,2026-03-02,1093.47,GBP,Bank Transfer,Successful,Netherlands,
TX00120,C0176,2026-02-07,145.07,EUR,Bank Transfer,Successful,Germany,
TX00121,C0008,2026-01-31,170.08,GBP,Credit Card,Successful,France,
TX00122,C0043,2026-02-06,91.65,GBP,Bank Transfer,Successful,United Kingdom,
TX00123,C0102,2026-03-23,532.61,GBP,Credit Card,Successful,United Kingdom,
TX00124,C0009,2026-01-16,200.22,GBP,Credit Card,Successful,United Kingdom,
TX00125,C0064,2026-03-14,373.58,GBP,Bank Transfer,Successful,Ireland,
TX00126,C0028,2026-06-04,908.84,EUR,Debit Card,Successful,France,
TX00127,UNKNOWN_05,2026-05-19,300.27,EUR,Debit Card,Successful,Germany,
TX00128,C0012,2026-04-26,630.55,EUR,Debit Card,Failed,Ireland,Bank Timeout
TX00129,C0027,2026-06-11,401.64,EUR,Digital Wallet,Successful,United Kingdom,
TX00130,C0036,2026-05-22,917.17,GBP,Bank Transfer,Successful,United Kingdom,
TX00131,C0027,2026-04-29,775.77,GBP,Debit Card,Successful,United Kingdom,
TX00132,C0103,2026-06-06,287.68,EUR,Digital Wallet,Successful,Spain,
TX00133,C0066,2026-01-23,448.83,EUR,Bank Transfer,Successful,Netherlands,
TX00134,C0165,2026-05-29,1257.88,GBP,Digital Wallet,Successful,France,
TX00135,C0047,2026-02-23,723.7,GBP,Bank Transfer,Failed,United Kingdom,Insufficient Funds
TX00136,C0097,2026-05-13,158.0,USD,Debit Card,Successful,United Kingdom,
TX00137,C0119,2026-06-15,904.4,EUR,Bank Transfer,Successful,France,
TX00138,C0113,2026-03-31,206.04,GBP,Credit Card,Successful,Germany,
TX00139,C0144,2026-01-17,1720.96,EUR,Credit Card,Successful,Spain,
TX00140,C0037,2026-03-09,1237.05,GBP,Digital Wallet,Successful,Ireland,
TX00141,C0092,2026-03-15,662.75,GBP,Digital Wallet,Successful,Germany,
TX00142,C0145,2026-06-19,592.08,GBP,Credit Card,Successful,Netherlands,
TX00143,C0156,2026-06-20,433.69,GBP,Credit Card,Failed,Spain,Insufficient Funds
TX00144,C0112,2026-04-13,922.18,EUR,Debit Card,Successful,Germany,
TX00145,C0118,2026-06-22,377.98,GBP,Digital Wallet,Successful,France,
TX00146,C0156,2026-03-20,632.85,EUR,Credit Card,Successful,Spain,
TX00147,C0113,2026-03-16,1086.96,GBP,Digital Wallet,Successful,United Kingdom,
TX00148,C0171,2026-06-01,321.33,EUR,Bank Transfer,Successful,Spain,
TX00149,C0023,2026-05-01,306.81,EUR,Debit Card,Successful,United Kingdom,
TX00150,C0063,2026-04-05,187.69,EUR,Credit Card,Successful,France,
TX00151,C0021,2026-03-24,209.6,EUR,Bank Transfer,Successful,Ireland,
TX00152,C0017,2026-05-08,109.49,USD,Bank Transfer,Failed,France,Card Declined
TX00153,C0085,2026-05-17,963.29,GBP,Digital Wallet,Successful,Germany,
TX00154,C0041,2026-03-30,2410.47,EUR,Debit Card,Successful,France,
TX00155,C0074,2026-01-06,1739.81,EUR,Bank Transfer,Pending,United Kingdom,
TX00156,C0079,2026-01-19,130.04,GBP,Debit Card,Successful,United Kingdom,
TX00157,C0112,2026-01-27,959.23,GBP,Debit Card,Successful,United Kingdom,
TX00158,C0171,2026-03-25,1735.05,GBP,Credit Card,Successful,France,
TX00159,C0153,2026-04-22,351.32,GBP,Digital Wallet,Successful,Germany,
TX00160,C0069,2026-05-26,564.66,GBP,Digital Wallet,Successful,United Kingdom,
TX00161,C0059,2026-02-12,94.0,GBP,Credit Card,Successful,Spain,
TX00162,C0139,2026-05-23,649.84,EUR,Credit Card,Successful,Germany,
TX00163,C0023,2026-05-01,209.76,GBP,Debit Card,Successful,Germany,
TX00164,C0098,2026-01-10,613.81,EUR,Digital Wallet,Successful,Germany,
TX00165,C0077,2026-03-05,137.41,GBP,Bank Transfer,Successful,United Kingdom,
TX00166,C0033,2026-02-24,821.74,EUR,Bank Transfer,Successful,Netherlands,
TX00167,C0111,2026-06-10,1237.48,GBP,Digital Wallet,Successful,Germany,
TX00168,C0058,2026-06-16,266.21,GBP,Digital Wallet,Successful,United Kingdom,
TX00169,C0034,2026-05-29,197.08,GBP,Debit Card,Successful,Spain,
TX00170,C0118,2026-04-06,82.88,EUR,Credit Card,Successful,Ireland,
TX00171,C0032,2026-03-31,413.04,GBP,Debit Card,Successful,Netherlands,
TX00172,C0122,2026-02-26,315.97,USD,Debit Card,Successful,Ireland,
TX00173,C0030,2026-05-20,138.61,GBP,Bank Transfer,Failed,Spain,Card Declined
TX00174,C0079,2026-01-16,761.33,EUR,Bank Transfer,Successful,United Kingdom,
TX00175,C0146,2026-02-19,353.37,GBP,Debit Card,Successful,France,
TX00176,C0042,2026-01-25,207.6,EUR,Debit Card,Successful,France,
TX00177,C0139,2026-03-31,323.31,GBP,Debit Card,Successful,United Kingdom,
TX00178,C0130,2026-02-24,1287.69,GBP,Bank Transfer,Successful,United Kingdom,
TX00179,C0163,2026-02-05,864.8,GBP,Digital Wallet,Successful,United Kingdom,
TX00180,C0031,2026-03-10,463.81,GBP,Credit Card,Pending,France,
TX00181,C0129,2026-06-05,876.77,GBP,Digital Wallet,Successful,Ireland,
TX00182,C0169,2026-04-11,193.1,USD,Bank Transfer,Successful,Ireland,
TX00183,C0138,2026-05-29,532.46,GBP,Credit Card,Pending,United Kingdom,
TX00184,C0034,2026-06-15,587.12,GBP,Digital Wallet,Successful,United Kingdom,
TX00185,C0148,2026-06-13,347.46,USD,Debit Card,Successful,Germany,
TX00186,C0020,2026-03-05,750.05,GBP,Bank Transfer,Failed,France,Limit Exceeded
TX00187,C0106,2026-06-08,266.84,GBP,Bank Transfer,Failed,Spain,Limit Exceeded
TX00188,C0090,2026-06-14,798.99,EUR,Bank Transfer,Successful,Ireland,
TX00189,C0096,2026-06-23,828.06,USD,Debit Card,Successful,Spain,
TX00190,C0094,2026-03-05,43.4,EUR,Debit Card,Successful,Ireland,
TX00191,C0006,2026-02-11,1424.76,GBP,Bank Transfer,Successful,Spain,
TX00192,C0092,2026-04-16,38.84,USD,Credit Card,Failed,Germany,Insufficient Funds
TX00193,C0169,2026-06-18,306.85,GBP,Bank Transfer,Successful,United Kingdom,
TX00194,C0079,2026-06-13,1238.36,USD,Debit Card,Successful,United Kingdom,
TX00195,C0050,2026-04-14,395.56,EUR,Credit Card,Successful,Germany,
TX00196,UNKNOWN_03,2026-01-28,148.97,USD,Bank Transfer,Successful,United Kingdom,
TX00197,C0018,2026-03-18,204.45,GBP,Bank Transfer,Successful,United Kingdom,
TX00198,C0088,2026-05-10,1240.0,GBP,Bank Transfer,Successful,Spain,
TX00199,C0093,2026-04-12,101.16,EUR,Bank Transfer,Failed,United Kingdom,Authentication Failed
TX00200,C0087,2026-03-04,1352.41,GBP,Debit Card,Successful,Spain,
TX00201,C0166,2026-03-04,494.31,GBP,Bank Transfer,Successful,Ireland,
TX00202,C0076,2026-01-11,188.0,USD,Bank Transfer,Successful,France,
TX00203,C0176,2026-02-22,315.56,EUR,Digital Wallet,Successful,Netherlands,
TX00204,C0013,2026-05-02,218.19,GBP,Digital Wallet,Successful,United Kingdom,
TX00205,C0133,2026-02-13,1081.7,GBP,Bank Transfer,Successful,France,
TX00206,C0107,2026-06-29,965.42,GBP,Debit Card,Successful,United Kingdom,
TX00207,C0044,2026-01-15,120.15,GBP,Debit Card,Successful,Spain,
TX00208,C0042,2026-04-17,367.58,GBP,Digital Wallet,Pending,United Kingdom,
TX00209,C0130,2026-03-31,248.71,EUR,Credit Card,Successful,United Kingdom,
TX00210,C0115,2026-05-31,1555.39,EUR,Bank Transfer,Successful,Netherlands,
TX00211,C0111,2026-06-10,164.42,GBP,Bank Transfer,Successful,France,
TX00212,C0010,2026-04-09,2025.55,GBP,Debit Card,Successful,Germany,
TX00213,C0108,2026-04-25,503.56,EUR,Digital Wallet,Successful,France,
TX00214,C0177,2026-05-07,192.94,EUR,Digital Wallet,Successful,United Kingdom,
TX00215,C0004,2026-04-05,291.29,EUR,Bank Transfer,Successful,Netherlands,
TX00216,C0085,2026-02-03,262.07,EUR,Debit Card,Failed,United Kingdom,Limit Exceeded
TX00217,C0089,2026-03-19,175.31,EUR,Bank Transfer,Successful,United Kingdom,
TX00218,C0162,2026-02-13,561.49,GBP,Credit Card,Successful,United Kingdom,
TX00219,C0051,2026-03-26,182.41,GBP,Digital Wallet,Successful,United Kingdom,
TX00220,C0086,2026-04-22,81.18,EUR,Debit Card,Pending,United Kingdom,
TX00221,C0130,2026-02-07,375.13,GBP,Bank Transfer,Successful,Germany,
TX00222,C0011,2026-02-15,111.9,GBP,Debit Card,Successful,United Kingdom,
TX00223,C0145,2026-05-29,273.33,GBP,Debit Card,Successful,United Kingdom,
TX00224,C0148,2026-03-10,239.19,GBP,Credit Card,Failed,France,Card Declined
TX00225,C0130,2026-02-05,247.02,EUR,Debit Card,Successful,United Kingdom,
TX00226,C0117,2026-05-10,2837.9,EUR,Digital Wallet,Successful,Netherlands,
TX00227,C0135,2026-05-10,543.46,GBP,Bank Transfer,Successful,Spain,
TX00228,C0141,2026-05-30,638.14,GBP,Bank Transfer,Failed,Germany,Invalid Account Details
TX00229,C0163,2026-05-18,114.44,EUR,Debit Card,Successful,Spain,
TX00230,C0078,2026-06-29,297.12,GBP,Bank Transfer,Successful,United Kingdom,
TX00231,C0083,2026-04-15,622.04,USD,Bank Transfer,Successful,United Kingdom,
TX00232,C0115,2026-02-21,216.84,GBP,Credit Card,Successful,Netherlands,
TX00233,C0035,2026-06-06,1120.86,EUR,Bank Transfer,Successful,Ireland,
TX00234,C0155,2026-02-17,186.37,GBP,Bank Transfer,Successful,Ireland,
TX00235,C0139,2026-02-22,406.1,EUR,Bank Transfer,Successful,United Kingdom,
TX00236,C0114,2026-05-30,314.77,GBP,Bank Transfer,Failed,Ireland,Authentication Failed
TX00237,C0055,2026-06-09,595.66,USD,Digital Wallet,Failed,Germany,Card Declined
TX00238,C0063,2026-03-03,300.54,GBP,Digital Wallet,Successful,United Kingdom,
TX00239,C0079,2026-05-13,411.47,EUR,Bank Transfer,Successful,United Kingdom,
TX00240,C0120,2026-06-16,423.81,GBP,Credit Card,Successful,Spain,
TX00241,C0141,2026-05-25,277.49,GBP,Credit Card,Successful,United Kingdom,
TX00242,C0121,2026-01-01,782.37,GBP,Digital Wallet,Successful,Ireland,
TX00243,C0168,2026-05-01,634.37,GBP,Debit Card,Pending,France,
TX00244,C0173,2026-01-31,480.43,GBP,Bank Transfer,Successful,Netherlands,
TX00245,C0127,2026-06-03,359.28,EUR,Debit Card,Successful,Netherlands,
TX00246,C0067,2026-01-13,1019.49,GBP,Digital Wallet,Failed,Ireland,Card Declined
TX00247,C0108,2026-06-29,423.92,GBP,Credit Card,Successful,United Kingdom,
TX00248,C0077,2026-02-02,399.14,GBP,Debit Card,Successful,United Kingdom,
TX00249,C0114,2026-03-18,566.22,GBP,Bank Transfer,Successful,France,
TX00250,UNKNOWN_02,2026-02-12,2190.97,GBP,Credit Card,Successful,Germany,
TX00251,C0067,2026-05-28,165.79,EUR,Digital Wallet,Successful,United Kingdom,
TX00252,C0092,2026-03-13,996.63,GBP,Debit Card,Successful,United Kingdom,
TX00253,C0009,2026-05-15,103.63,EUR,Credit Card,Failed,United Kingdom,Authentication Failed
TX00254,C0133,2026-01-13,623.08,GBP,Debit Card,Successful,United Kingdom,
TX00255,C0089,2026-03-23,1975.98,GBP,Debit Card,Successful,United Kingdom,
TX00256,C0083,2026-06-14,784.75,EUR,Debit Card,Successful,Spain,
TX00257,C0096,2026-06-17,598.86,GBP,Credit Card,Successful,United Kingdom,
TX00258,C0039,2026-02-07,321.7,GBP,Digital Wallet,Successful,Spain,
TX00259,C0108,2026-03-13,531.87,USD,Debit Card,Successful,Spain,
TX00260,C0135,2026-03-16,418.11,USD,Debit Card,Successful,United Kingdom,
TX00261,C0063,2026-04-13,265.58,EUR,Debit Card,Successful,Netherlands,
TX00262,C0024,2026-04-08,404.89,GBP,Bank Transfer,Failed,France,Authentication Failed
TX00263,C0070,2026-01-20,613.16,EUR,Bank Transfer,Successful,Netherlands,
TX00264,C0036,2026-05-19,269.85,USD,Bank Transfer,Successful,United Kingdom,
TX00265,C0068,2026-02-10,261.04,USD,Debit Card,Successful,United Kingdom,
TX00266,C0113,2026-02-27,163.01,GBP,Bank Transfer,Failed,United Kingdom,Card Declined
TX00267,C0021,2026-06-02,722.07,GBP,Debit Card,Successful,France,
TX00268,C0135,2026-05-05,823.47,GBP,Credit Card,Successful,Spain,
TX00269,C0041,2026-03-13,630.75,GBP,Bank Transfer,Successful,Netherlands,
TX00270,C0162,2026-06-15,1176.61,EUR,Credit Card,Failed,Netherlands,Card Declined
TX00271,C0132,2026-03-13,558.18,GBP,Digital Wallet,Successful,Spain,
TX00272,C0050,2026-04-13,722.86,GBP,Debit Card,Successful,Netherlands,
TX00273,C0102,2026-02-14,670.66,GBP,Bank Transfer,Successful,United Kingdom,
TX00274,C0020,2026-02-03,479.23,GBP,Debit Card,Successful,Ireland,
TX00275,C0018,2026-03-30,329.9,GBP,Credit Card,Failed,Germany,Authentication Failed
TX00276,C0173,2026-04-12,3401.7,GBP,Debit Card,Successful,United Kingdom,
TX00277,C0145,2026-05-26,352.78,GBP,Bank Transfer,Successful,Germany,
TX00278,C0028,2026-03-12,294.12,USD,Debit Card,Successful,Spain,
TX00279,C0051,2026-06-12,749.13,GBP,Debit Card,Successful,United Kingdom,
TX00280,C0036,2026-04-20,641.67,GBP,Bank Transfer,Successful,Germany,
TX00281,C0072,2026-01-13,156.95,GBP,Credit Card,Successful,United Kingdom,
TX00282,C0053,2026-05-14,1345.17,GBP,Bank Transfer,Failed,United Kingdom,Insufficient Funds
TX00283,C0060,2026-04-15,478.15,GBP,Debit Card,Failed,United Kingdom,Limit Exceeded
TX00284,C0096,2026-03-12,201.48,GBP,Credit Card,Pending,Netherlands,
TX00285,C0035,2026-03-26,1422.92,GBP,Bank Transfer,Pending,Ireland,
TX00286,C0159,2026-02-24,881.68,GBP,Credit Card,Failed,United Kingdom,Authentication Failed
TX00287,C0131,2026-04-22,176.82,EUR,Debit Card,Successful,United Kingdom,
TX00288,C0137,2026-04-13,2346.32,GBP,Debit Card,Successful,United Kingdom,
TX00289,C0031,2026-03-22,906.85,GBP,Digital Wallet,Successful,United Kingdom,
TX00290,C0128,2026-02-21,513.54,EUR,Debit Card,Successful,France,
TX00291,C0151,2026-03-14,2001.57,GBP,Bank Transfer,Successful,Netherlands,
TX00292,C0032,2026-04-01,593.12,GBP,Digital Wallet,Successful,France,
TX00293,C0136,2026-03-27,505.79,GBP,Credit Card,Successful,Germany,
TX00294,C0065,2026-02-25,295.52,GBP,Credit Card,Successful,France,
TX00295,C0142,2026-04-16,849.44,GBP,Bank Transfer,Successful,United Kingdom,
TX00296,C0087,2026-02-11,776.75,USD,Bank Transfer,Successful,United Kingdom,
TX00297,C0145,2026-04-01,524.52,USD,Credit Card,Successful,Spain,
TX00298,C0027,2026-01-23,264.68,USD,Bank Transfer,Successful,Ireland,
TX00299,C0071,2026-03-27,578.5,GBP,Bank Transfer,Successful,Spain,
TX00300,C0050,2026-05-22,488.17,GBP,Credit Card,Successful,Spain,
TX00301,C0045,2026-05-29,166.76,GBP,Bank Transfer,Successful,France,
TX00302,C0056,2026-05-06,148.26,GBP,Bank Transfer,Successful,Spain,
TX00303,C0069,2026-05-15,837.47,GBP,Bank Transfer,Successful,Germany,
TX00304,C0023,2026-01-12,56.74,GBP,Debit Card,Successful,United Kingdom,
TX00305,C0128,2026-03-03,616.83,GBP,Credit Card,Successful,United Kingdom,
TX00306,C0100,2026-04-29,345.03,GBP,Digital Wallet,Successful,United Kingdom,
TX00307,C0150,2026-05-25,1575.0,GBP,Bank Transfer,Failed,United Kingdom,Insufficient Funds
TX00308,C0127,2026-04-16,340.55,EUR,Bank Transfer,Successful,Germany,
TX00309,C0027,2026-06-04,907.38,GBP,Debit Card,Failed,Netherlands,Bank Timeout
TX00310,C0013,2026-02-19,369.67,EUR,Debit Card,Successful,Ireland,
TX00311,C0077,2026-01-28,570.6,GBP,Debit Card,Successful,France,
TX00312,C0087,2026-01-16,969.05,GBP,Digital Wallet,Successful,United Kingdom,
TX00313,C0044,2026-04-16,349.61,GBP,Debit Card,Successful,Netherlands,
TX00314,C0141,2026-05-01,1208.42,GBP,Debit Card,Successful,Germany,
TX00315,C0105,2026-02-21,222.6,GBP,Digital Wallet,Successful,United Kingdom,
TX00316,C0135,2026-05-22,665.41,GBP,Bank Transfer,Successful,United Kingdom,
TX00317,C0020,2026-05-14,1134.84,EUR,Digital Wallet,Successful,United Kingdom,
TX00318,C0147,2026-03-07,907.81,GBP,Debit Card,Successful,United Kingdom,
TX00319,C0038,2026-02-13,2641.17,GBP,Debit Card,Failed,Ireland,Limit Exceeded
TX00320,C0081,2026-05-15,270.72,USD,Digital Wallet,Successful,Netherlands,
TX00321,C0080,2026-05-02,160.41,GBP,Debit Card,Successful,Netherlands,
TX00322,C0148,2026-01-31,222.48,EUR,Debit Card,Successful,United Kingdom,
TX00323,C0050,2026-02-16,908.12,EUR,Bank Transfer,Successful,Ireland,
TX00324,C0044,2026-03-29,790.95,GBP,Credit Card,Successful,Netherlands,
TX00325,C0062,2026-04-03,565.05,GBP,Debit Card,Failed,United Kingdom,Authentication Failed
TX00326,C0065,2026-01-31,199.43,GBP,Bank Transfer,Failed,France,Limit Exceeded
TX00327,C0033,2026-06-21,994.1,EUR,Credit Card,Successful,Germany,
TX00328,C0032,2026-03-12,182.91,GBP,Credit Card,Successful,Germany,
TX00329,C0042,2026-03-11,1387.29,GBP,Debit Card,Successful,United Kingdom,
